epoch,d_loss,g_adv,clip_loss,g_total,steps
1,0.7170562420795167,4.632865381136958,0.8184718822082403,4.649234819516118,459
2,1.1092821684278433,1.605353567205483,0.7817764896453077,1.6366246284872359,459
3,1.1307811630577302,1.4437516534250545,0.7788801821748156,1.4904844666098718,459
4,1.149281563452386,1.4534456538348937,0.7783879241652478,1.5157166868123613,459
5,1.0318295153137904,1.6370433979304528,0.7776878567043213,1.7148121835619277,459
6,0.9127717999201714,1.9606657163899448,0.7783757143031018,2.0540708021660516,459
7,0.8200171491159592,2.1715389925799857,0.7778685642223732,2.280440593856612,459
8,0.7480321927787432,2.5455270056371337,0.7789407855544994,2.6701575250147735,459
9,0.7222181593670565,2.652905327367367,0.7797006184239273,2.793251443272842,459
10,0.7510599331009102,2.5963618469004537,0.7797089634637687,2.7523036449822986,459
11,0.6612104586526459,3.0379445684631405,0.7780273989135144,3.193550047401769,459
12,0.6880894792235754,2.951124013898679,0.7765232201235487,3.1064286654031874,459
13,0.6146757486469085,3.2621613723390244,0.7773048442693058,3.4176223366348832,459
14,0.6484763476843408,3.4257063070933023,0.7757489322836882,3.580856088979052,459
15,0.5937787378795266,3.4631479402642884,0.7748031291566903,3.618108558109383,459
16,0.6029286954008156,3.709837660160979,0.7767564549165613,3.865188947170648,459
17,0.6337259839043379,3.372791715437031,0.7747038350905209,3.5277324822733345,459
18,0.6098644415927089,3.401504551857905,0.7729752409172473,3.556099595327523,459
19,0.5548311167422982,3.937784990973462,0.7749623497846599,4.092777469838627,459
20,0.49515289594145384,5.088821705065522,0.7750445605622917,5.24383062630697,459
21,0.7021143811071101,3.1292447081578323,0.7705928146969,3.2833632624227236,459
22,0.5208131879373313,4.089364336986168,0.7701902944018378,4.2434023945939305,459
23,0.5353745670100443,4.307926933035612,0.7705205099774861,4.462031040056599,459
24,0.6107796447469258,3.8811312785335614,0.7697364590526407,4.035078569824659,459
25,0.5182624172930624,4.177400948954563,0.7696568713988095,4.331332325545791,459
